Universe,Decision 1,Value 1,Decision 2,Value 2,Decision 3,Value 3,Decision 4,Value 4,Decision 5,Value 5,Decision 6,Value 6,Decision 7,Value 7
Universe_99,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,ln,effect_type,femininity * damages + femininity * z3,year_interaction, + post1979:damages,model,log_linear
Universe_100,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,ln,effect_type,femininity * damages + femininity * z3,year_interaction, + post1979:damages,model,neg_binomial
Universe_101,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,ln,effect_type,femininity * damages + femininity * z3,year_interaction, + year:damages,model,log_linear
Universe_102,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,ln,effect_type,femininity * damages + femininity * z3,year_interaction, + year:damages,model,neg_binomial
Universe_103,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,ln,effect_type,femininity + damages + z3,year_interaction,,model,log_linear
Universe_104,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,ln,effect_type,femininity + damages + z3,year_interaction,,model,neg_binomial
Universe_105,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,ln,effect_type,femininity + damages + z3,year_interaction, + post1979:damages,model,log_linear
Universe_106,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,ln,effect_type,femininity + damages + z3,year_interaction, + post1979:damages,model,neg_binomial
Universe_107,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,ln,effect_type,femininity + damages + z3,year_interaction, + year:damages,model,log_linear
Universe_108,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,ln,effect_type,femininity + damages + z3,year_interaction, + year:damages,model,neg_binomial
Universe_109,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,linear,effect_type,femininity * damages,year_interaction,,model,log_linear
Universe_110,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,linear,effect_type,femininity * damages,year_interaction,,model,neg_binomial
Universe_111,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,linear,effect_type,femininity * damages,year_interaction, + post1979:damages,model,log_linear
Universe_112,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,linear,effect_type,femininity * damages,year_interaction, + post1979:damages,model,neg_binomial
Universe_113,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,linear,effect_type,femininity * damages,year_interaction, + year:damages,model,log_linear
Universe_114,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,linear,effect_type,femininity * damages,year_interaction, + year:damages,model,neg_binomial
Universe_115,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,linear,effect_type,femininity * damages + femininity * zpressure,year_interaction,,model,log_linear
Universe_116,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,linear,effect_type,femininity * damages + femininity * zpressure,year_interaction,,model,neg_binomial
Universe_117,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,linear,effect_type,femininity * damages + femininity * zpressure,year_interaction, + post1979:damages,model,log_linear
Universe_118,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,linear,effect_type,femininity * damages + femininity * zpressure,year_interaction, + post1979:damages,model,neg_binomial
Universe_119,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,linear,effect_type,femininity * damages + femininity * zpressure,year_interaction, + year:damages,model,log_linear
Universe_120,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,linear,effect_type,femininity * damages + femininity * zpressure,year_interaction, + year:damages,model,neg_binomial
Universe_121,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,linear,effect_type,femininity * damages + femininity * zwind,year_interaction,,model,log_linear
Universe_122,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,linear,effect_type,femininity * damages + femininity * zwind,year_interaction,,model,neg_binomial
Universe_123,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,linear,effect_type,femininity * damages + femininity * zwind,year_interaction, + post1979:damages,model,log_linear
Universe_124,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,linear,effect_type,femininity * damages + femininity * zwind,year_interaction, + post1979:damages,model,neg_binomial
Universe_125,death_outliers,2,damage_outliers,3,femininity_rating,fem_binary,damage_functional,linear,effect_type,femininity * damages + femininity * zwind,year_interaction, + year:damages,model,log_linear
